"method","TPR","FPR","median_rank","sqrt_CMC","sqrt_oncoKB","sqrt_COSMIC","hallmark_median_time","Reactome_median_time"
"TG_ORA",0.015625,0.0704483615284514,0.492352732174385,NA,NA,NA,7.43299999999999,2.907
"TG_Score",0.142361111111111,0.045368508221933,0.42230057066649,0.31193131023666,0.232228753776133,0.194234380301017,3.36999999999999,6.527
"MiR_ORA",0.00175438596491228,0.0286944045911047,0.549663637173662,NA,NA,NA,0.591999999999999,4.82899999999999
"MiR_Score",0.0105263157894737,0.0512912482065997,0.554285714285714,NA,NA,NA,0.930000000000007,9.315
"Edge_ORA",0.2,0.0325436707346255,0.443753256133371,0.236730588782815,0.158639553981772,0.11987285541888,1.723,21.293
"Edge_Score",0.266666666666667,0.0510521281683405,0.452857142857143,0.430443680964985,0.373640339282684,0.303136182919623,24.185,57.992
"Edge_2Ddist",0.159649122807018,0.0529650884744142,0.527619047619047,NA,NA,NA,6.592,130.655
"Edge_Topology",0.0614035087719298,0.0459708273553324,0.466793168880456,NA,NA,NA,2735.943,4807.904
"Edge_Network",0.254385964912281,0.0909851745576279,0.430740037950664,0.24889980505828,0.248298257093221,0.196081739409045,181.172,1064.18
